"section"	"input"	"status"	"details"
"domain"	"ordinary"	"accepted; clause canonical"	"stored: c(\"a\", \"b\", \"c\")"
"domain"	"named"	"accepted; clause canonical"	"stored: c(z = \"a\", z = \"b\", unused = \"c\")"
"domain"	"missing_names"	"accepted; clause canonical"	"stored: structure(c(\"a\", \"b\", \"c\"), names = c(NA, \"\", \"\"))"
"domain"	"repeated"	"accepted; clause canonical"	"stored: c(\"a\", \"b\", \"a\", \"c\", \"b\")"
"domain"	"matrix"	"accepted; clause canonical"	"stored: structure(c(\"a\", \"b\", \"a\", \"c\"), dim = c(2L, 2L))"
"domain"	"array"	"accepted; clause canonical"	"stored: structure(c(\"a\", \"b\", \"a\", \"c\"), dim = c(2L, 1L, 2L))"
"domain"	"attributed"	"accepted; clause canonical"	"stored: structure(c(\"a\", \"b\", \"c\"), note = \"metadata\")"
"domain"	"as_is"	"accepted; clause canonical"	"stored: structure(c(\"a\", \"b\", \"c\"), class = \"AsIs\")"
"domain"	"missing"	"rejected"	"Assertion on 'domain' failed: Contains missing values (element 2)."
"domain"	"empty"	"rejected"	"Assertion on 'domain' failed: Must have length >= 1, but has length 0."
"domain"	"logical"	"rejected"	"Assertion on 'domain' failed: Must be of type 'character', not 'logical'."
"domain"	"numeric"	"rejected"	"Assertion on 'domain' failed: Must be of type 'character', not 'double'."
"domain"	"factor"	"rejected"	"Assertion on 'domain' failed: Must be of type 'character', not 'factor'."
"domain"	"list"	"rejected"	"Assertion on 'domain' failed: Must be of type 'character', not 'list'."
"domain"	"null"	"rejected"	"Assertion on 'domain' failed: Must be of type 'character', not 'NULL'."
"domain"	"empty_label"	"accepted; clause canonical"	"stored: c(\"\", \"a\", \"b\")"
"symbol name"	"ordinary"	"accepted; clause canonical"	"clause names: X"
"symbol name"	"named"	"accepted; clause canonical"	"clause names: X"
"symbol name"	"missing_name_attribute"	"accepted; clause canonical"	"clause names: X"
"symbol name"	"matrix"	"accepted; clause canonical"	"clause names: X"
"symbol name"	"as_is"	"accepted; clause canonical"	"clause names: X"
"symbol name"	"blank"	"accepted; clause canonical"	"clause names:  "
"symbol name"	"empty"	"rejected"	"invalid first argument"
"symbol name"	"missing"	"rejected"	"Assertion on 'name' failed: May not be NA."
"symbol name"	"multiple"	"rejected"	"Assertion on 'name' failed: Must have length 1."
"symbol name"	"factor"	"rejected"	"Assertion on 'name' failed: Must be of type 'string', not 'factor'."
"symbol name"	"numeric"	"rejected"	"Assertion on 'name' failed: Must be of type 'string', not 'double'."
"atom values"	"ordinary"	"accepted; clause canonical"	"list(symbol = \"X\", values = c(\"a\", \"b\"))"
"atom values"	"named"	"accepted; clause canonical"	"list(symbol = \"X\", values = c(\"a\", \"b\"))"
"atom values"	"missing_names"	"accepted; clause canonical"	"list(symbol = \"X\", values = c(\"a\", \"b\"))"
"atom values"	"repeated"	"accepted; clause canonical"	"list(symbol = \"X\", values = c(\"a\", \"b\"))"
"atom values"	"matrix_duplicates"	"accepted; clause canonical"	"list(symbol = \"X\", values = structure(c(\"a\", \"a\", \"b\", \"a\"), dim = c(2L, 2L)))"
"atom values"	"array_duplicates"	"accepted; clause canonical"	"list(symbol = \"X\", values = structure(c(\"a\", \"a\", \"b\", \"a\"), dim = c(2L, 1L, 2L)))"
"atom values"	"attributed"	"accepted; clause canonical"	"list(symbol = \"X\", values = c(\"a\", \"b\"))"
"atom values"	"as_is"	"accepted; clause canonical"	"list(symbol = \"X\", values = c(\"a\", \"b\"))"
"atom values"	"missing"	"rejected"	"Assertion on 'values' failed: Must be a subset of {'a','b','c'}, but has additional elements {'NA'}."
"atom values"	"outside"	"rejected"	"Assertion on 'values' failed: Must be a subset of {'a','b','c'}, but has additional elements {'d'}."
"atom values"	"factor"	"rejected"	"Assertion on 'values' failed: Must be a subset of {'a','b','c'}, but has different type."
"atom values"	"numeric"	"rejected"	"Assertion on 'values' failed: Must be a subset of {'a','b','c'}, but has different type."
"atom values"	"logical"	"rejected"	"Assertion on 'values' failed: Must be a subset of {'a','b','c'}, but has different type."
"atom values"	"raw"	"rejected"	"Assertion on 'values' failed: Must be a subset of {'a','b','c'}, but has different type."
"atom values"	"complex"	"rejected"	"Assertion on 'values' failed: Must be a subset of {'a','b','c'}, but has different type."
"atom values"	"list"	"rejected"	"Assertion on 'values' failed: Must be a subset of {'a','b','c'}, but has different type."
"atom values"	"empty_character"	"accepted; clause canonical"	"FALSE"
"atom values"	"empty_numeric"	"accepted; clause canonical"	"FALSE"
"atom values"	"empty_logical"	"accepted; clause canonical"	"FALSE"
"atom values"	"empty_raw"	"accepted; clause canonical"	"FALSE"
"atom values"	"empty_complex"	"accepted; clause canonical"	"FALSE"
"atom values"	"empty_list"	"accepted; clause canonical"	"FALSE"
"atom values"	"null"	"accepted; clause canonical"	"FALSE"
"atom values"	"full_repeated"	"accepted; clause canonical"	"TRUE"
"list names"	"duplicate atom-list names"	"ignored"	"Symbol identities come from each atom, not the outer list names."
"list names"	"duplicate formula-list names"	"ignored"	"Clause order/contents are the same as for the unnamed list."
"clause selector"	"null"	"canonical"	"FALSE"
"clause selector"	"empty_integer"	"canonical"	"FALSE"
"clause selector"	"empty_character"	"canonical"	"FALSE"
"clause selector"	"empty_raw"	"canonical"	"FALSE"
