"group","case","comparison","locale","expected","original","candidate","guarded"
"atom",1,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",1,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",1,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",1,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",2,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",2,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",2,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",2,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",3,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",3,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",3,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",3,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",4,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",4,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",4,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",4,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",5,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",5,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",5,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",5,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",6,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",6,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",6,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",6,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",7,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",7,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",7,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",7,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",8,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",8,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",8,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",8,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",9,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",9,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",9,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",9,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",10,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",10,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",10,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",10,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",11,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",11,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",11,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",11,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",12,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",12,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",12,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",12,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",13,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",13,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",13,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",13,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",14,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",14,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",14,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",14,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",15,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",15,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",15,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",15,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",16,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",16,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",16,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",16,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",17,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",17,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",17,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",17,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",18,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",18,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",18,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",18,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",19,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",19,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",19,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",19,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",20,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",20,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",20,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",20,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",21,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",21,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",21,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",21,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",22,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",22,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",22,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",22,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",23,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",23,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",23,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",23,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",24,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",24,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",24,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",24,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",25,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",25,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",25,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",25,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",26,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",26,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",26,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",26,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",27,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",27,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",27,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",27,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",28,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",28,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",28,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",28,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",29,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",29,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",29,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",29,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",30,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",30,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",30,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",30,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",31,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",31,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",31,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",31,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",32,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",32,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",32,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",32,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",33,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",33,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",33,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",33,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",34,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",34,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",34,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",34,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",35,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",35,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",35,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",35,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",36,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",36,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",36,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",36,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",37,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",37,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",37,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",37,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",38,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",38,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",38,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",38,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",39,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",39,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",39,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",39,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",40,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",40,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",40,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",40,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",41,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",41,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",41,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",41,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",42,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",42,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",42,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",42,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",43,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",43,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",43,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",43,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",44,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",44,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",44,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",44,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",45,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",45,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",45,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",45,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",46,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",46,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",46,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",46,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",47,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",47,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",47,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",47,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",48,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",48,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",48,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",48,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",49,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",49,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",49,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",49,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",50,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",50,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",50,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",50,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",51,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",51,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",51,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",51,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",52,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",52,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",52,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",52,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",53,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",53,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",53,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",53,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",54,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",54,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",54,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",54,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",55,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",55,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",55,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",55,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",56,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",56,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",56,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",56,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",57,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",57,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",57,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",57,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",58,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",58,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",58,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",58,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",59,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",59,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",59,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",59,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",60,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",60,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",60,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
"atom",60,"unequal_control","C",FALSE,FALSE,FALSE,FALSE
"atom",61,"forward_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",61,"reverse_equal","C",TRUE,TRUE,TRUE,TRUE
"atom",61,"reflexivity","C",TRUE,TRUE,TRUE,TRUE
